이름,학명,영명,유통명,과명,원산지,TIP,분류,생육형태,생장높이,생장너비,실내정원구성,생태형,잎형태,잎무늬,잎색,꽃피는 계절,꽃색,열매 맺는 계절,열매색,향기,번식방법,번식시기,관리수준,관리요구도,광요구도,배치장소,생장속도,생육적온,겨울최저온도,습도,비료,토양,물주기-봄,물주기-여름,물주기-가을,물주기-겨울,병충해
금전수,Zamioculcas zamiifolia,"Eternity Plant, Fat Boy,Aroid Palm, Arum Fern, ZZ Plant","자미오쿨카스, 돈나무 (추천 유통명: 금전수)",천남성과,"아프리카 동부(케냐), 남부","컨테이너, 표본, 지피, 암석가든",잎보기식물,풀모양,,,하층목,건조형,"잎-화려함 / 잎의 질감- 두꺼움, 선명함 / 잎의 광택-있음 / 상록, 반상록",기타 (무늬없음 등),"녹색, 연두색",,,,,,"삽목,분주",봄,초보자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,16~20℃,13℃ 이상,40 ~ 70%,"비료를 거의 요구하지않음 (1회/년, 봄)","중성,산성 / 배수 잘 됨 / 타입-Loam, Sand",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
금천죽,Dracaena sanderiana,"Belgian Evergreen, Lucky Bamboo",금천죽,백합과,아프리카 카메룬,"컨테이너, 표본, 토피아리, 분재, 에스페리어",잎보기식물,관목형,,,"중층목,하층목","일반형,수경형",잎의 질감-거침 / 잎의 광택-있음 / 상록,기타 (무늬없음 등),"녹색, 연두색",,,,,,삽목,봄~여름,초보자,낮음 (잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,16~20℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,"중성 / 배수 잘 됨 / 타입-Loam, Sand",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
기누라,Gynura aurantiaca,"Purple-Passion Vine,Purple Velvet Plant, Royal Velvet Plant","뿔우단풀, (추천 유통명: 기누라)",국화과,"자바 원산 식물의 원예 품종, 멜라네시아","컨테이너, 공중걸이, 경계",잎보기식물,풀모양,,,하층목,일반형,잎-화려함 / 잎의 질감-중간 / 잎의 광택-없음 / 상록,기타 (무늬없음 등),"빨강, 분홍, 자주색",,,,,거의 없음,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,중성 / 배수 잘 됨 / 타입-Loam,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,온실가루이"
꽃베고니아,Begonia semperflorens,"Wax Begonias,Fibrous Begonia",,베고니아과,브라질,"꽃말 '친절, 정중 '",잎&꽃보기식물,풀모양,,,"하층목,지피식물",일반형,잎-화려함 / 잎의 질감-중간 / 잎의 광택-있음 / 상록,,"녹색, 연두색,빨강, 분홍, 자주색","봄,여름,가을","분홍색,빨강색,오렌지색,흰색",,,거의 없음,"파종,삽목",봄,경험자,보통 (약간 잘 견딤),"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",빠름,21~25℃,13℃ 이상,70% 이상,비료를 보통 요구함,"중성,산성 / 배수 잘 됨 / 타입-Loam, Sand",흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
나도풍란,Aerides japonica,The Japan Sedirea,"나도풍란, 대엽풍란",난초과,한국 등 아시아,꽃말 '인내' (바닷가의 바위에 붙어 모진 풍파를 이겨내며 자라기 때문에 붙여진 듯),잎&꽃보기식물,로제트형,,,하층목,건조형,,"줄무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,금색, 노란색,흰색, 크림색","봄,여름","흰색,기타",,,중간,"파종,기타",,경험자,필요함,"중간 광도(800~1,500 Lux)","발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,7℃,70% 이상,,,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
나한송,Podocarpus macrophyllus,"Buddhist Pine, Japanese(Southern) Yew, spreading yew,Yew Pine",,나한송과,"중국, 일본","표본, 경계, 차폐, 방풍, 토피어리, 분재",잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,잎-화려함 / 잎의 질감-섬세함 / 잎의 광택-있음 / 상록,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"파종,삽목",,초보자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,10~15℃,5℃,,보통 요구함,"중성,산성,알칼리성 / 배수 잘 됨 / 타입-Clay, Loam, Sand",흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
남천,Nandina domestica,"Heavenly bamboo, Sacred Bamboo",,매자나무과,"한국, 일본, 중국남부","컨테이너, 독립, 지피, 경계, 울타리","잎보기식물, 열매보기식물",관목형,,,"상층목,중층목",일반형,잎의 질감-중간 / 잎의 광택-있음 / 상록,기타 (무늬없음 등),"녹색, 연두색,금색, 노란색,빨강, 분홍, 자주색","봄,여름","분홍색,흰색",,"빨강색,오렌지색,흰색",거의 없음,"파종,삽목",,초보자,낮음 (잘 견딤),"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,5℃,40 ~ 70%,비료를 보통 요구함,"중성,산성 / 배수 잘 됨 / 타입-Loam, Sand",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
네마탄투스,Nematanthus gregarius,"Goldfish Plant, Guppy Plant, Clog Plan","복어꽃, 네마탄서스 (추천 유통명 : 네마탄투스)",괭이밥과,브라질,"컨테이너, 공중걸이",잎&꽃보기식물,"관목형, 덩굴성",,,"하층목,지피식물","일반형,건조형",화려함 / 잎의 질감-거침 / 잎의 광택-있음 / 상록,기타 (무늬없음 등),"녹색, 연두색","봄,여름","빨강색,오렌지색",,,거의 없음,삽목,,경험자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,10℃,40 ~ 70%,비료를 보통 요구함,"중성 / 배수정도 보통 / 타입 - Loam, Sand",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"진딧물,응애,깍지벌레"
네오레겔리아,Neoregelia carolinae,Blushing Bromeliad,,파인애플과,브라질,,잎&꽃보기식물,"풀모양, 로제트형",,,하층목,일반형,,"줄무늬,점무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색,빨강, 분홍, 자주색","봄,여름","보라색,분홍색,빨강색,흰색",,,,"분주,기타",,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,13℃ 이상,70% 이상,보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,응애
녹영,Senecio rowleyanus,"String of Pearls,String-of-Beads","콩선인장, (추천 유통명: 녹영)",국화과,"나미비아, 서남 아프리카",잎이 마치 염주구슬처럼 생긴 덩굴성 다육식물이다. 사계절을 통하여 피는 작고 하얀 꽃이 파란 콩 모양의 잎과 더불어 귀엽다.,선인장다육식물,덩굴성,,,지피식물,건조형,,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,"삽목,분주",여름,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,16~20℃,13℃ 이상,40 ~ 70%,"비료를 보통 요구함 (2회/년, 4월, 7월)",건조에 강한 식물이므로 겉흙이 완전히 마르면 관수하며 온도가 낮은 환경에서는 특별히 흙을 건조하게 관리한다.,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,응애
뉴기니아봉선화,Impatiens hybrid 'New Guinea',New Guinea impatiens,뉴기니임파첸스,봉선화과,브라질 남부 원산종의 원예품종,속명은 라틴어의 impatience(참을 수 없는)에서 유래.,꽃보기식물,관목형,,,하층목,일반형,잎은 긴 타원형이며 끝이 뾰족한 피침형이다.잎은 암록색이나 동록색을 띈다.,기타 (무늬없음 등),"녹색, 연두색,빨강, 분홍, 자주색","봄,여름,가을","분홍색,빨강색,오렌지색,흰색",,,거의 없음,"파종,삽목",,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40% 미만,연중 개화하는 식물이므로 규칙적인 시비가 필요하다.,유기질이 풍부한 배합토로 만든 토양에서 기른다.,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"진딧물,응애,총채벌레,온실가루이"
대만고무나무,Ficus retusa,"Indian Laurel, Malay Banyan, Glossy Leaf Fig, Chinese Banyan","가지마루, 가슈말, (추천 유통명: 대만고무나무)",뽕나무과,"중국남부, 인도, 세일론, 마카오, 필리핀, 보르네오, 말레이반도","대만고무나무(F. microcarpa)의 밑둥을 분재처럼 둥글게 재배한 종류를 ‘인삼벤자민’, ‘가쥬마루’라 부름",잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
더피고사리,Nephrolepis cordifolia 'Duffii',Lemon Button Fern,"듀피, 더피, (추천 유통명: 더피고사리)",고란초과,뉴질랜드,습한 것을 좋아하는 양치류를 잘 기르는 포인트는 물주기이다. 늘 신선한 물과 산소를 필요로 하므로 생장기에는 물이 부족하지 않도록 듬뿍 준다.,잎보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"분주,기타",,경험자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,16~20℃,13℃ 이상,70% 이상,비료를 보통 요구함,난석 4:부엽토 3:강모래 3,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
덕구리난,Beaucarnea recurvata (Nolina tuberculata),"Elephants Foot, Bottle Palm, Ponytail Palm","독구리난, 도꾸리난, 덕구리난, 덕구리란, 술병난, 노리나 (추천 유통명 : 덕구리난)",백합과,멕시코,줄기 밑둥에 물을 많이 저장하여 술병처럼 부푼 모양으로 술병난이라고도 불림,"잎보기식물, 선인장다육식물","직립형, 다육형",,,중층목,건조형,잎-화려 / 잎의 질감-거칠 / 잎의 광택-있음 / 잎은 얇고 단단함,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,파종,,초보자,낮음 (잘 견딤),"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,13℃ 이상,40% 미만,"비료를 거의 요구하지않음 (2회/년, 4월, 7월)",배수가 잘 되는 토양,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
